Seed,index,X_b,Q,t,X,F,errF
400,1,0.2,4.5,-0.3,5.73767,0.171272,0.0191396
400,1,0.4,4.5,-0.3,-0.147622,0.0432336,0.00413188
400,1,0.4,4.5,-0.3,1.16741,0.0338059,0.00504117
400,1,0.4,4.5,-0.3,2.27313,0.017426,0.00246917
400,1,0.4,4.5,-0.3,3.28716,0.0119955,0.00074072
400,1,0.4,4.5,-0.3,4.16189,0.0193569,0.00122318
400,1,0.4,4.5,-0.3,5.2628,0.0358441,0.00369436
400,1,0.4,4.5,-0.3,5.73767,0.041097,0.00482033
400,1,0.6,4.5,-0.3,-0.147622,0.0179777,0.00135373
400,1,0.6,4.5,-0.3,1.16741,0.0140574,0.00286884
400,1,0.6,4.5,-0.3,2.27313,0.0072462,0.00134939
400,1,0.6,4.5,-0.3,3.28716,0.00498806,3.01011E-05
400,1,0.6,4.5,-0.3,4.16189,0.0080491,2.06743E-05
400,1,0.6,4.5,-0.3,5.2628,0.0149049,0.00139106
400,1,0.6,4.5,-0.3,5.73767,0.0170892,0.00217948
400,1,0.8,4.5,-0.3,-0.147622,0.00924571,0.00039321
400,1,0.8,4.5,-0.3,1.16741,0.00722955,0.00211778
400,1,0.8,4.5,-0.3,2.27313,0.00372663,0.000962238
400,1,0.8,4.5,-0.3,3.28716,0.0025653,0.000296605
400,1,0.8,4.5,-0.3,4.16189,0.00413956,0.000450724
400,1,0.8,4.5,-0.3,5.2628,0.00766544,0.00059471
400,1,0.8,4.5,-0.3,5.73767,0.00878879,0.00126643
400,1,0.2,5,-0.3,-0.147622,0.18065,0.0192477
400,1,0.2,5,-0.3,1.16741,0.141257,0.0168608
400,1,0.2,5,-0.3,2.27313,0.072814,0.00856184
400,1,0.2,5,-0.3,3.28716,0.0501229,0.00493473
400,1,0.2,5,-0.3,4.16189,0.080882,0.00799095
400,1,0.2,5,-0.3,5.2628,0.149773,0.0162266
400,1,0.2,5,-0.3,5.73767,0.171722,0.0191891
400,1,0.4,5,-0.3,-0.147622,0.0436818,0.00418118
400,1,0.4,5,-0.3,1.16741,0.0341563,0.00507972
400,1,0.4,5,-0.3,2.27313,0.0176066,0.00248904
